clients,elements,interval,requestProcessTime,clientProcessTime,responseTime
50,1000,10,4.455329,5.878290,214.137635
50,2000,10,17.509807,20.104768,313.661887
50,3000,10,53.002549,66.614253,570.122693
50,4000,10,98.501328,306.218760,740.005223
50,5000,10,148.840438,777.407513,926.083218
50,6000,10,204.849227,1123.370394,1278.185645
50,7000,10,279.629152,1481.477935,1793.964119
50,8000,10,348.685167,2027.167811,2180.823975
50,9000,10,440.883445,2548.905485,2757.664561
50,10000,10,540.235043,3194.011812,3382.387256
50,11000,10,643.048984,3834.417577,4044.684023
50,12000,10,762.453090,4495.139518,4765.463623
50,13000,10,880.621733,5339.326957,5514.852744
50,14000,10,1015.438746,6115.161060,6354.246025
50,15000,10,1165.906492,7047.709447,7297.883701
50,16000,10,1314.166635,8016.967622,8235.254375
