clients,elements,interval,requestProcessTime,clientProcessTime,responseTime
1,100,10,0.000000,0.000000,84.409988
6,100,10,0.069905,0.384478,73.481060
11,100,10,0.038130,0.209715,71.677469
16,100,10,0.026214,0.511181,73.585652
21,100,10,0.029959,0.339539,80.746047
26,100,10,0.032264,0.379101,75.462942
31,100,10,0.067650,0.453255,73.577946
36,100,10,0.029127,0.390303,76.908713
41,100,10,0.046035,0.450120,76.621231
46,100,10,0.041031,0.423989,81.403183
51,100,10,0.049345,0.485223,82.821600
56,100,10,0.033704,0.479349,94.189417
61,100,10,0.041255,0.670401,88.744801
66,100,10,0.034953,0.616436,86.239777
71,100,10,0.041352,0.469644,91.415697
76,100,10,0.041391,0.618108,87.304197
81,100,10,0.041425,0.502281,113.490362
86,100,10,0.039017,0.641338,93.013238
91,100,10,0.041482,0.629146,106.371978
96,100,10,0.061167,0.823569,105.042100
101,100,10,0.043604,0.548166,96.026779
106,100,10,0.045504,0.646952,111.721856
111,100,10,0.045344,0.572466,103.969445
116,100,10,0.056045,0.612875,103.493198
121,100,10,0.041596,0.461027,106.363348
126,100,10,0.044939,0.474356,124.035486
131,100,10,0.030417,0.702786,116.337940
136,100,10,0.057055,0.906710,111.206461
141,100,10,0.031234,0.688639,107.015398
146,100,10,0.031601,0.675111,119.416507
151,100,10,0.045832,0.541649,127.484272
156,100,10,0.060495,1.138646,124.293945
161,100,10,0.037775,0.837558,138.004413
166,100,10,0.048007,0.717580,128.138498
171,100,10,0.041698,0.967633,150.703188
176,100,10,0.045279,0.638678,131.911468
181,100,10,0.045187,0.746169,151.364702
186,100,10,0.050738,0.643803,175.548740
191,100,10,0.038429,0.639027,151.833370
196,100,10,0.035309,0.808901,178.524469
