clients,elements,interval,requestProcessTime,clientProcessTime,responseTime
1,100,10,0.209715,0.629146,116.397446
6,100,10,0.000000,0.838861,102.542074
11,100,10,0.209715,0.896056,105.979649
16,100,10,0.078643,0.878182,100.241003
21,100,10,0.099864,0.938725,105.108092
26,100,10,0.072594,0.661409,114.240236
31,100,10,0.033825,0.480315,106.511824
36,100,10,0.075730,0.611669,109.157977
41,100,10,0.046035,0.491040,104.477724
46,100,10,0.041031,0.501493,107.044923
51,100,10,0.037009,0.666154,103.621316
56,100,10,0.037449,0.430665,120.097323
61,100,10,0.044693,0.804481,111.190909
66,100,10,0.031775,0.997736,117.427893
71,100,10,0.029537,0.723665,119.071280
76,100,10,0.041391,0.499453,111.715833
81,100,10,0.054371,0.903588,122.519077
86,100,10,0.068279,0.794967,119.486429
91,100,10,0.032264,0.889561,120.965007
96,100,10,0.039322,0.928427,123.718158
101,100,10,0.037375,0.681055,132.099889
106,100,10,0.033634,0.805227,139.521862
111,100,10,0.054790,1.297967,142.443837
116,100,10,0.032542,0.934679,129.493792
121,100,10,0.039863,0.937652,159.199438
126,100,10,0.054925,0.762298,137.995876
131,100,10,0.028816,0.925308,138.366466
136,100,10,0.038551,0.798768,145.468399
141,100,10,0.053544,1.359430,145.078742
146,100,10,0.045965,1.174980,154.770747
151,100,10,0.038888,0.934691,218.954373
156,100,10,0.033608,1.338951,157.803524
161,100,10,0.044288,0.833650,169.004358
166,100,10,0.042954,1.101636,183.038879
171,100,10,0.046603,0.816786,171.508580
176,100,10,0.032172,1.508520,185.335224
181,100,10,0.044029,1.598934,183.011308
186,100,10,0.043973,0.974161,193.415774
191,100,10,0.052703,1.125435,193.447394
196,100,10,0.034239,0.972608,183.808156
