clients,elements,interval,requestProcessTime,clientProcessTime,responseTime
1,100,10,0.000000,0.209715,114.953835
6,100,10,0.034953,0.104858,102.962804
11,100,10,0.057195,0.209715,109.139992
16,100,10,0.039322,0.275251,102.991345
21,100,10,0.059919,0.279620,115.497532
26,100,10,0.008066,0.153253,106.102296
31,100,10,0.027060,0.270600,104.171341
36,100,10,0.040778,0.227191,107.898743
41,100,10,0.066495,0.296670,116.579509
46,100,10,0.018236,0.287219,117.944545
51,100,10,0.024672,0.374198,122.235894
56,100,10,0.037449,0.269634,111.118153
61,100,10,0.051569,0.354109,114.358101
66,100,10,0.054018,0.314573,118.934863
71,100,10,0.038399,0.327865,136.216592
76,100,10,0.055188,0.226272,147.451470
81,100,10,0.051782,0.354703,132.413229
86,100,10,0.053648,0.382852,122.383354
91,100,10,0.041482,0.274243,139.313572
96,100,10,0.054613,0.292727,140.756299
101,100,10,0.047757,0.340528,118.972375
106,100,10,0.047483,0.377883,141.321456
111,100,10,0.047233,0.476110,137.158197
116,100,10,0.043389,0.470051,151.473546
121,100,10,0.034664,0.466226,156.549492
126,100,10,0.048268,0.472691,133.762065
131,100,10,0.043224,0.462654,157.914044
136,100,10,0.058597,0.501158,159.831903
141,100,10,0.046108,0.467025,160.936231
146,100,10,0.047401,0.419430,144.237823
151,100,10,0.055554,0.487484,164.264387
156,100,10,0.053773,0.466482,169.159362
161,100,10,0.033867,0.474139,168.301995
166,100,10,0.036637,0.444697,176.839214
171,100,10,0.034339,0.505279,204.297102
176,100,10,0.051237,0.561226,199.202337
181,100,10,0.037077,0.422906,215.010209
186,100,10,0.036080,0.531053,173.668139
191,100,10,0.041723,0.464448,180.437469
196,100,10,0.036379,0.500749,197.962557
