clients,elements,interval,requestProcessTime,clientProcessTime,responseTime
1,100,10,0.000000,0.209715,74.449013
6,100,10,0.034953,0.314573,93.233878
11,100,10,0.019065,0.343170,82.917302
16,100,10,0.052429,0.511181,73.642415
21,100,10,0.039946,0.269634,80.217329
26,100,10,0.024198,0.362969,75.570833
31,100,10,0.040590,0.372075,76.480453
36,100,10,0.034953,0.512637,79.839393
41,100,10,0.020460,0.409200,84.511084
46,100,10,0.041031,0.519729,81.201000
51,100,10,0.037009,0.588025,82.087001
56,100,10,0.037449,0.760218,90.160761
61,100,10,0.058445,0.763226,87.087660
66,100,10,0.047663,0.740358,86.399080
71,100,10,0.035445,0.437153,85.187151
76,100,10,0.052429,0.584995,89.074149
81,100,10,0.044014,0.458267,89.829698
86,100,10,0.036578,0.497464,93.771130
91,100,10,0.023046,0.481654,103.273569
96,100,10,0.043691,0.504627,100.271725
101,100,10,0.029069,0.506639,101.112866
106,100,10,0.033634,0.532202,98.148219
111,100,10,0.022672,0.542237,117.369784
116,100,10,0.041581,0.488130,126.883981
121,100,10,0.048529,0.540753,131.573744
126,100,10,0.059919,0.737332,125.009401
131,100,10,0.032018,0.589124,111.909420
136,100,10,0.030840,0.550502,111.437367
141,100,10,0.056519,0.548829,151.800533
146,100,10,0.043092,0.494123,175.105981
151,100,10,0.043054,0.509705,173.048714
156,100,10,0.041674,0.482614,150.274022
161,100,10,0.045590,0.547083,205.186764
166,100,10,0.039164,0.654412,168.050934
171,100,10,0.035566,0.637730,166.671121
176,100,10,0.042896,0.601740,198.823030
181,100,10,0.034759,0.528343,159.364225
186,100,10,0.049610,0.600958,183.745594
191,100,10,0.042821,0.644517,157.600064
196,100,10,0.042799,0.579927,186.841331
