clients,elements,interval,requestProcessTime,clientProcessTime,responseTime
50,1000,1,3.862921,5.881561,159.662976
50,1000,6,4.018176,5.319688,181.704080
50,1000,11,3.796664,5.096309,156.335859
50,1000,16,4.051698,5.391417,143.537590
50,1000,21,4.052484,5.129535,159.183694
50,1000,26,4.178739,5.288591,139.014183
50,1000,31,5.050106,6.779830,136.457262
50,1000,36,4.305879,5.083791,134.650219
50,1000,41,4.328161,6.304694,161.571729
50,1000,46,3.839689,5.115347,143.490881
50,1000,51,3.781296,4.802314,138.865987
50,1000,56,3.809182,5.326275,133.901485
50,1000,61,4.159537,5.371101,127.949685
50,1000,66,3.785359,4.957602,127.729540
50,1000,71,3.842802,4.616225,124.276954
50,1000,76,3.962798,4.918215,127.671702
50,1000,81,4.253123,5.464031,111.281367
50,1000,86,4.242014,5.610209,125.268029
50,1000,91,3.832971,4.768858,117.632519
50,1000,96,4.078993,5.467767,110.528665
50,1000,101,3.909648,5.357830,104.433201
50,1000,106,4.112187,5.034902,110.363939
50,1000,111,4.132471,5.645304,122.705814
50,1000,116,3.942679,4.614586,101.718319
50,1000,121,3.920724,5.856133,98.146588
50,1000,126,4.051567,5.259067,100.827712
50,1000,131,4.546167,6.661931,171.477868
50,1000,136,4.327703,6.294536,93.627273
50,1000,141,4.062478,5.255201,92.334131
50,1000,146,3.775922,4.706337,82.601902
50,1000,151,4.178379,6.175490,101.315114
50,1000,156,3.958866,5.461115,79.579765
50,1000,161,4.137386,5.565874,87.588801
50,1000,166,4.022665,5.489918,86.954783
50,1000,171,3.908829,5.490344,76.353734
50,1000,176,3.721527,5.125407,99.773554
50,1000,181,4.066836,5.112037,82.321694
50,1000,186,3.962733,4.884267,87.861719
50,1000,191,3.911254,5.661590,97.057373
50,1000,196,3.960144,5.150048,87.955692
