clients,elements,interval,requestProcessTime,clientProcessTime,responseTime
50,1000,1,3.337721,3.780781,211.900478
50,1000,11,3.376708,3.703013,218.728806
50,1000,21,3.556540,4.142593,176.874763
50,1000,31,3.894711,4.569584,183.898838
50,1000,41,3.510962,3.832015,168.511873
50,1000,51,3.759111,4.249132,158.273517
50,1000,61,3.394927,3.728270,163.023815
50,1000,71,3.569325,3.983200,125.643622
50,1000,81,3.403770,3.740866,115.287741
50,1000,91,3.925040,4.367772,93.374449
50,1000,101,3.650697,4.047743,106.502106
50,1000,111,4.045195,4.663277,85.841349
50,1000,121,3.936582,4.704695,130.698349
50,1000,131,4.256195,5.144093,79.382571
50,1000,141,4.216562,4.975790,90.229263
50,1000,151,3.517329,3.892608,81.894565
50,1000,161,3.607573,4.125970,73.235886
50,1000,171,3.795076,4.244809,80.297434
50,1000,181,3.863420,4.431981,80.113201
50,1000,191,4.056671,4.714510,71.876540
50,1000,201,3.534526,3.928036,70.753199
