clients,elements,interval,requestProcessTime,clientProcessTime,responseTime
50,1000,1,3.585871,4.138207,249.235664
50,1000,11,3.980309,4.649808,170.613302
50,1000,21,3.728642,4.335008,179.549001
50,1000,31,3.866258,4.424717,211.724873
50,1000,41,3.817118,4.559420,162.663334
50,1000,51,3.681732,4.557498,123.611814
50,1000,61,3.597219,4.164891,120.368709
50,1000,71,3.535823,4.244236,129.891074
50,1000,81,3.681667,4.334114,95.403872
50,1000,91,3.531474,4.221469,105.620163
50,1000,101,4.021006,4.859867,87.342142
50,1000,111,3.704639,4.592466,89.532367
50,1000,121,3.474768,3.953605,82.096792
50,1000,131,3.804369,4.506752,94.058022
50,1000,141,4.174612,4.841664,97.479921
50,1000,151,3.791284,4.360821,61.227978
50,1000,161,3.854225,4.404492,66.368407
50,1000,171,3.749746,4.411751,78.406114
50,1000,181,3.551144,4.034140,73.875534
50,1000,191,3.508697,4.040102,65.535243
50,1000,201,3.464046,3.983653,63.002082
